county,county_id,dem,rep,total,third_party_unaffiliated,dem_pct,rep_pct,third_party_unaffiliated_pct,dem_rep_margin,dem_rep_margin_pct
Adams,2290,19167,44005,76655,13483,25.0,57.41,17.59,-24838,-32.4
Allegheny,2291,503368,262882,917349,151099,54.87,28.66,16.47,240486,26.22
Armstrong,2292,10646,27650,43597,5301,24.42,63.42,12.16,-17004,-39.0
Beaver,2293,45702,51857,114077,16518,40.06,45.46,14.48,-6155,-5.4
Bedford,2294,5261,24573,33038,3204,15.92,74.38,9.7,-19312,-58.45
Berks,2295,104317,118010,274413,52086,38.01,43.0,18.98,-13693,-4.99
Blair,2296,19801,50580,81562,11181,24.28,62.01,13.71,-30779,-37.74
Bradford,2297,7816,25642,38894,5436,20.1,65.93,13.98,-17826,-45.83
Bucks,2298,193971,201728,484593,88894,40.03,41.63,18.34,-7757,-1.6
Butler,2299,39257,82964,143799,21578,27.3,57.69,15.01,-43707,-30.39
Cambria,2300,29342,46481,85828,10005,34.19,54.16,11.66,-17139,-19.97
Cameron,2301,663,1842,2883,378,23.0,63.89,13.11,-1179,-40.89
Carbon,2302,14074,23920,45756,7762,30.76,52.28,16.96,-9846,-21.52
Centre,2303,41421,41796,102059,18842,40.59,40.95,18.46,-375,-0.37
Chester,2304,161056,151817,389623,76750,41.34,38.97,19.7,9239,2.37
Clarion,2305,5042,15541,23311,2728,21.63,66.67,11.7,-10499,-45.04
Clearfield,2306,12023,31420,49545,6102,24.27,63.42,12.32,-19397,-39.15
Clinton,2307,6064,13271,22509,3174,26.94,58.96,14.1,-7207,-32.02
Columbia,2308,11776,22454,40596,6366,29.01,55.31,15.68,-10678,-26.3
Crawford,2309,14385,31739,52913,6789,27.19,59.98,12.83,-17354,-32.8
Cumberland,2310,61689,88171,183649,33789,33.59,48.01,18.4,-26482,-14.42
Dauphin,2311,86667,75952,201263,38644,43.06,37.74,19.2,10715,5.32
Delaware,2312,202886,142699,410749,65164,49.39,34.74,15.86,60187,14.65
Elk,2313,5770,12122,20452,2560,28.21,59.27,12.52,-6352,-31.06
Erie,2314,76429,70791,174736,27516,43.74,40.51,15.75,5638,3.23
Fayette,2315,29438,41309,79516,8769,37.02,51.95,11.03,-11871,-14.93
Forest,2316,787,2055,3245,403,24.25,63.33,12.42,-1268,-39.08
Franklin,2317,23522,64320,105434,17592,22.31,61.0,16.69,-40798,-38.7
Fulton,2318,1473,7459,10102,1170,14.58,73.84,11.58,-5986,-59.26
Greene,2319,7349,12180,21789,2260,33.73,55.9,10.37,-4831,-22.17
Huntingdon,2320,6006,18889,27872,2977,21.55,67.77,10.68,-12883,-46.22
Indiana,2321,13876,28859,49105,6370,28.26,58.77,12.97,-14983,-30.51
Jefferson,2322,5433,19426,28083,3224,19.35,69.17,11.48,-13993,-49.83
Juniata,2323,2538,10021,14074,1515,18.03,71.2,10.76,-7483,-53.17
Lackawanna,2324,76778,52286,149929,20865,51.21,34.87,13.92,24492,16.34
Lancaster,2325,113010,183645,364439,67784,31.01,50.39,18.6,-70635,-19.38
Lawrence,2326,19671,30103,57321,7547,34.32,52.52,13.17,-10432,-18.2
Lebanon,2327,25451,52624,94098,16023,27.05,55.92,17.03,-27173,-28.88
Lehigh,2328,111769,89450,254346,53127,43.94,35.17,20.89,22319,8.78
Luzerne,2329,85329,90820,207712,31563,41.08,43.72,15.2,-5491,-2.64
Lycoming,2330,18206,43733,72660,10721,25.06,60.19,14.76,-25527,-35.13
Mckean,2331,5311,16194,25276,3771,21.01,64.07,14.92,-10883,-43.06
Mercer,2332,23121,38313,71901,10467,32.16,53.29,14.56,-15192,-21.13
Mifflin,2333,5372,18646,27150,3132,19.79,68.68,11.54,-13274,-48.89
Monroe,2334,48585,43321,117612,25706,41.31,36.83,21.86,5264,4.48
Montgomery,2335,305526,207600,623927,110801,48.97,33.27,17.76,97926,15.7
Montour,2336,3769,6549,12354,2036,30.51,53.01,16.48,-2780,-22.5
Northampton,2337,96147,86846,232431,49438,41.37,37.36,21.27,9301,4.0
Northumberland,2338,15329,31938,55342,8075,27.7,57.71,14.59,-16609,-30.01
Perry,2339,6027,20931,31247,4289,19.29,66.99,13.73,-14904,-47.7
Philadelphia,2340,778490,131180,1089315,179645,71.47,12.04,16.49,647310,59.42
Pike,2341,13625,23103,47388,10660,28.75,48.75,22.5,-9478,-20.0
Potter,2342,1736,7997,11002,1269,15.78,72.69,11.53,-6261,-56.91
Schuylkill,2343,25356,53170,92461,13935,27.42,57.51,15.07,-27814,-30.08
Snyder,2344,4890,15957,23871,3024,20.49,66.85,12.67,-11067,-46.36
Somerset,2345,10495,32815,48485,5175,21.65,67.68,10.67,-22320,-46.03
Sullivan,2346,1070,2844,4457,543,24.01,63.81,12.18,-1774,-39.8
Susquehanna,2347,6221,17451,27756,4084,22.41,62.87,14.71,-11230,-40.46
Tioga,2348,4927,18103,26797,3767,18.39,67.56,14.06,-13176,-49.17
Union,2349,7844,14389,26473,4240,29.63,54.35,16.02,-6545,-24.72
Venango,2350,8023,20116,32793,4654,24.47,61.34,14.19,-12093,-36.88
Warren,2351,6338,15233,25418,3847,24.94,59.93,15.13,-8895,-34.99
Washington,2352,52542,72650,144911,19719,36.26,50.13,13.61,-20108,-13.88
Wayne,2353,8714,21741,36696,6241,23.75,59.25,17.01,-13027,-35.5
Westmoreland,2354,86707,130777,250661,33177,34.59,52.17,13.24,-44070,-17.58
Wyoming,2355,4681,11313,18474,2480,25.34,61.24,13.42,-6632,-35.9
York,2356,96620,168273,327902,63009,29.47,51.32,19.22,-71653,-21.85
