county,county_id,dem,rep,total,third_party_unaffiliated,dem_pct,rep_pct,third_party_unaffiliated_pct,dem_rep_margin,dem_rep_margin_pct
Adams,2290,19166,43973,76606,13467,25.02,57.4,17.58,-24807,-32.38
Allegheny,2291,503200,262899,917018,150919,54.87,28.67,16.46,240301,26.2
Armstrong,2292,10647,27652,43601,5302,24.42,63.42,12.16,-17005,-39.0
Beaver,2293,45708,51871,114093,16514,40.06,45.46,14.47,-6163,-5.4
Bedford,2294,5266,24568,33037,3203,15.94,74.37,9.7,-19302,-58.43
Berks,2295,104271,117963,274241,52007,38.02,43.01,18.96,-13692,-4.99
Blair,2296,19789,50571,81540,11180,24.27,62.02,13.71,-30782,-37.75
Bradford,2297,7811,25631,38874,5432,20.09,65.93,13.97,-17820,-45.84
Bucks,2298,193887,201726,484396,88783,40.03,41.64,18.33,-7839,-1.62
Butler,2299,39159,82840,143444,21445,27.3,57.75,14.95,-43681,-30.45
Cambria,2300,29337,46472,85792,9983,34.2,54.17,11.64,-17135,-19.97
Cameron,2301,665,1843,2886,378,23.04,63.86,13.1,-1178,-40.82
Carbon,2302,14076,23902,45738,7760,30.78,52.26,16.97,-9826,-21.48
Centre,2303,41400,41792,102012,18820,40.58,40.97,18.45,-392,-0.38
Chester,2304,160912,151775,389300,76613,41.33,38.99,19.68,9137,2.35
Clarion,2305,5051,15551,23330,2728,21.65,66.66,11.69,-10500,-45.01
Clearfield,2306,12022,31428,49546,6096,24.26,63.43,12.3,-19406,-39.17
Clinton,2307,6066,13268,22498,3164,26.96,58.97,14.06,-7202,-32.01
Columbia,2308,11751,22439,40551,6361,28.98,55.34,15.69,-10688,-26.36
Crawford,2309,14402,31752,52941,6787,27.2,59.98,12.82,-17350,-32.77
Cumberland,2310,61690,88210,183638,33738,33.59,48.03,18.37,-26520,-14.44
Dauphin,2311,86632,75935,201122,38555,43.07,37.76,19.17,10697,5.32
Delaware,2312,202785,142701,410567,65081,49.39,34.76,15.85,60084,14.63
Elk,2313,5769,12118,20445,2558,28.22,59.27,12.51,-6349,-31.05
Erie,2314,76446,70821,174785,27518,43.74,40.52,15.74,5625,3.22
Fayette,2315,29443,41303,79510,8764,37.03,51.95,11.02,-11860,-14.92
Forest,2316,786,2053,3240,401,24.26,63.36,12.38,-1267,-39.1
Franklin,2317,23497,64326,105387,17564,22.3,61.04,16.67,-40829,-38.74
Fulton,2318,1470,7459,10100,1171,14.55,73.85,11.59,-5989,-59.3
Greene,2319,7363,12171,21789,2255,33.79,55.86,10.35,-4808,-22.07
Huntingdon,2320,6000,18890,27863,2973,21.53,67.8,10.67,-12890,-46.26
Indiana,2321,13871,28852,49093,6370,28.25,58.77,12.98,-14981,-30.52
Jefferson,2322,5434,19427,28085,3224,19.35,69.17,11.48,-13993,-49.82
Juniata,2323,2539,10021,14075,1515,18.04,71.2,10.76,-7482,-53.16
Lackawanna,2324,76727,52270,149838,20841,51.21,34.88,13.91,24457,16.32
Lancaster,2325,112897,183610,364188,67681,31.0,50.42,18.58,-70713,-19.42
Lawrence,2326,19673,30098,57306,7535,34.33,52.52,13.15,-10425,-18.19
Lebanon,2327,25448,52611,94064,16005,27.05,55.93,17.02,-27163,-28.88
Lehigh,2328,111703,89427,254201,53071,43.94,35.18,20.88,22276,8.76
Luzerne,2329,85201,90834,207562,31527,41.05,43.76,15.19,-5633,-2.71
Lycoming,2330,18199,43728,72633,10706,25.06,60.2,14.74,-25529,-35.15
Mckean,2331,5287,16169,25186,3730,20.99,64.2,14.81,-10882,-43.21
Mercer,2332,23113,38302,71875,10460,32.16,53.29,14.55,-15189,-21.13
Mifflin,2333,5372,18635,27138,3131,19.8,68.67,11.54,-13263,-48.87
Monroe,2334,48562,43297,117532,25673,41.32,36.84,21.84,5265,4.48
Montgomery,2335,305475,207632,623760,110653,48.97,33.29,17.74,97843,15.69
Montour,2336,3768,6548,12342,2026,30.53,53.05,16.42,-2780,-22.52
Northampton,2337,96066,86787,232247,49394,41.36,37.37,21.27,9279,4.0
Northumberland,2338,15330,31930,55322,8062,27.71,57.72,14.57,-16600,-30.01
Perry,2339,6024,20927,31236,4285,19.29,67.0,13.72,-14903,-47.71
Philadelphia,2340,777801,131106,1087886,178979,71.5,12.05,16.45,646695,59.45
Pike,2341,13611,23097,47360,10652,28.74,48.77,22.49,-9486,-20.03
Potter,2342,1738,7995,10999,1266,15.8,72.69,11.51,-6257,-56.89
Schuylkill,2343,25361,53166,92434,13907,27.44,57.52,15.05,-27805,-30.08
Snyder,2344,4888,15945,23857,3024,20.49,66.84,12.68,-11057,-46.35
Somerset,2345,10491,32835,48502,5176,21.63,67.7,10.67,-22344,-46.07
Sullivan,2346,1070,2846,4458,542,24.0,63.84,12.16,-1776,-39.84
Susquehanna,2347,6230,17444,27759,4085,22.44,62.84,14.72,-11214,-40.4
Tioga,2348,4923,18108,26798,3767,18.37,67.57,14.06,-13185,-49.2
Union,2349,7788,14394,26404,4222,29.5,54.51,15.99,-6606,-25.02
Venango,2350,8021,20112,32783,4650,24.47,61.35,14.18,-12091,-36.88
Warren,2351,6339,15231,25416,3846,24.94,59.93,15.13,-8892,-34.99
Washington,2352,52562,72647,144921,19712,36.27,50.13,13.6,-20085,-13.86
Wayne,2353,8707,21742,36672,6223,23.74,59.29,16.97,-13035,-35.54
Westmoreland,2354,86722,130800,250685,33163,34.59,52.18,13.23,-44078,-17.58
Wyoming,2355,4679,11305,18460,2476,25.35,61.24,13.41,-6626,-35.89
York,2356,96568,168235,327699,62896,29.47,51.34,19.19,-71667,-21.87
