"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2024 Presidential Election","ADAMS","President of the United States","Statewide","Democratic","KAMALA D HARRIS","19,842","0","0","10,843","0","0","8,888","0","0","111","0","0"
"2024 Presidential Election","ADAMS","President of the United States","Statewide","Republican","DONALD J TRUMP","40,248","0","0","30,642","0","0","9,460","0","0","146","0","0"
"2024 Presidential Election","ADAMS","President of the United States","Statewide","Libertarian","CHASE OLIVER","342","0","0","238","0","0","102","0","0","2","0","0"
"2024 Presidential Election","ADAMS","President of the United States","Statewide","Green Party","JILL STEIN","218","0","0","140","0","0","76","0","0","2","0","0"
"2024 Presidential Election","ALLEGHENY","President of the United States","Statewide","Democratic","KAMALA D HARRIS","429,916","0","0","258,292","0","0","164,979","0","0","6,645","0","0"
"2024 Presidential Election","ALLEGHENY","President of the United States","Statewide","Republican","DONALD J TRUMP","283,595","0","0","220,707","0","0","59,740","0","0","3,148","0","0"
"2024 Presidential Election","ALLEGHENY","President of the United States","Statewide","Libertarian","CHASE OLIVER","3,302","0","0","2,399","0","0","856","0","0","47","0","0"
"2024 Presidential Election","ALLEGHENY","President of the United States","Statewide","Green Party","JILL STEIN","3,691","0","0","2,499","0","0","1,112","0","0","80","0","0"
"2024 Presidential Election","ARMSTRONG","President of the United States","Statewide","Democratic","KAMALA D HARRIS","8,553","0","0","5,437","0","0","3,081","0","0","35","0","0"
"2024 Presidential Election","ARMSTRONG","President of the United States","Statewide","Republican","DONALD J TRUMP","28,296","0","0","24,029","0","0","4,162","0","0","105","0","0"
"2024 Presidential Election","ARMSTRONG","President of the United States","Statewide","Libertarian","CHASE OLIVER","182","0","0","156","0","0","25","0","0","1","0","0"
"2024 Presidential Election","ARMSTRONG","President of the United States","Statewide","Green Party","JILL STEIN","88","0","0","60","0","0","27","0","0","1","0","0"
"2024 Presidential Election","BEAVER","President of the United States","Statewide","Democratic","KAMALA D HARRIS","37,196","0","0","23,552","0","0","13,383","0","0","261","0","0"
"2024 Presidential Election","BEAVER","President of the United States","Statewide","Republican","DONALD J TRUMP","56,837","0","0","46,773","0","0","9,796","0","0","268","0","0"
"2024 Presidential Election","BEAVER","President of the United States","Statewide","Libertarian","CHASE OLIVER","502","0","0","387","0","0","113","0","0","2","0","0"
"2024 Presidential Election","BEAVER","President of the United States","Statewide","Green Party","JILL STEIN","308","0","0","242","0","0","65","0","0","1","0","0"
"2024 Presidential Election","BEDFORD","President of the United States","Statewide","Democratic","KAMALA D HARRIS","4,336","0","0","2,430","0","0","1,889","0","0","17","0","0"
"2024 Presidential Election","BEDFORD","President of the United States","Statewide","Republican","DONALD J TRUMP","23,658","0","0","19,603","0","0","3,948","0","0","107","0","0"
"2024 Presidential Election","BEDFORD","President of the United States","Statewide","Libertarian","CHASE OLIVER","100","0","0","72","0","0","27","0","0","1","0","0"
"2024 Presidential Election","BEDFORD","President of the United States","Statewide","Green Party","JILL STEIN","66","0","0","44","0","0","22","0","0","0","0","0"
"2024 Presidential Election","BERKS","President of the United States","Statewide","Democratic","KAMALA D HARRIS","91,125","0","0","60,162","0","0","30,175","0","0","788","0","0"
"2024 Presidential Election","BERKS","President of the United States","Statewide","Republican","DONALD J TRUMP","116,677","0","0","97,251","0","0","18,691","0","0","735","0","0"
"2024 Presidential Election","BERKS","President of the United States","Statewide","Libertarian","CHASE OLIVER","1,094","0","0","871","0","0","219","0","0","4","0","0"
"2024 Presidential Election","BERKS","President of the United States","Statewide","Green Party","JILL STEIN","942","0","0","701","0","0","233","0","0","8","0","0"
"2024 Presidential Election","BLAIR","President of the United States","Statewide","Democratic","KAMALA D HARRIS","18,127","0","0","10,888","0","0","7,119","0","0","120","0","0"
"2024 Presidential Election","BLAIR","President of the United States","Statewide","Republican","DONALD J TRUMP","46,352","0","0","36,580","0","0","9,532","0","0","240","0","0"
"2024 Presidential Election","BLAIR","President of the United States","Statewide","Libertarian","CHASE OLIVER","274","0","0","213","0","0","60","0","0","1","0","0"
"2024 Presidential Election","BLAIR","President of the United States","Statewide","Green Party","JILL STEIN","196","0","0","133","0","0","62","0","0","1","0","0"
"2024 Presidential Election","BRADFORD","President of the United States","Statewide","Democratic","KAMALA D HARRIS","7,990","0","0","5,124","0","0","2,800","0","0","66","0","0"
"2024 Presidential Election","BRADFORD","President of the United States","Statewide","Republican","DONALD J TRUMP","22,937","0","0","19,486","0","0","3,254","0","0","197","0","0"
"2024 Presidential Election","BRADFORD","President of the United States","Statewide","Libertarian","CHASE OLIVER","180","0","0","148","0","0","29","0","0","3","0","0"
"2024 Presidential Election","BRADFORD","President of the United States","Statewide","Green Party","JILL STEIN","85","0","0","59","0","0","23","0","0","3","0","0"
"2024 Presidential Election","BUCKS","President of the United States","Statewide","Democratic","KAMALA D HARRIS","198,431","0","0","107,899","0","0","88,971","0","0","1,561","0","0"
"2024 Presidential Election","BUCKS","President of the United States","Statewide","Republican","DONALD J TRUMP","198,722","0","0","148,928","0","0","48,169","0","0","1,625","0","0"
"2024 Presidential Election","BUCKS","President of the United States","Statewide","Libertarian","CHASE OLIVER","1,904","0","0","1,329","0","0","569","0","0","6","0","0"
"2024 Presidential Election","BUCKS","President of the United States","Statewide","Green Party","JILL STEIN","1,971","0","0","1,318","0","0","617","0","0","36","0","0"
"2024 Presidential Election","BUTLER","President of the United States","Statewide","Democratic","KAMALA D HARRIS","40,661","0","0","24,251","0","0","16,137","0","0","273","0","0"
"2024 Presidential Election","BUTLER","President of the United States","Statewide","Republican","DONALD J TRUMP","79,773","0","0","64,294","0","0","15,086","0","0","393","0","0"
"2024 Presidential Election","BUTLER","President of the United States","Statewide","Libertarian","CHASE OLIVER","665","0","0","512","0","0","151","0","0","2","0","0"
"2024 Presidential Election","BUTLER","President of the United States","Statewide","Green Party","JILL STEIN","341","0","0","227","0","0","113","0","0","1","0","0"
"2024 Presidential Election","CAMBRIA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","21,177","0","0","13,416","0","0","7,541","0","0","220","0","0"
"2024 Presidential Election","CAMBRIA","President of the United States","Statewide","Republican","DONALD J TRUMP","49,408","0","0","41,647","0","0","7,328","0","0","433","0","0"
"2024 Presidential Election","CAMBRIA","President of the United States","Statewide","Libertarian","CHASE OLIVER","337","0","0","271","0","0","63","0","0","3","0","0"
"2024 Presidential Election","CAMBRIA","President of the United States","Statewide","Green Party","JILL STEIN","214","0","0","163","0","0","47","0","0","4","0","0"
"2024 Presidential Election","CAMERON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","538","0","0","321","0","0","215","0","0","2","0","0"
"2024 Presidential Election","CAMERON","President of the United States","Statewide","Republican","DONALD J TRUMP","1,654","0","0","1,312","0","0","338","0","0","4","0","0"
"2024 Presidential Election","CAMERON","President of the United States","Statewide","Libertarian","CHASE OLIVER","17","0","0","13","0","0","4","0","0","0","0","0"
"2024 Presidential Election","CAMERON","President of the United States","Statewide","Green Party","JILL STEIN","10","0","0","7","0","0","3","0","0","0","0","0"
"2024 Presidential Election","CARBON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","11,394","0","0","7,270","0","0","4,027","0","0","97","0","0"
"2024 Presidential Election","CARBON","President of the United States","Statewide","Republican","DONALD J TRUMP","23,708","0","0","20,326","0","0","3,208","0","0","174","0","0"
"2024 Presidential Election","CARBON","President of the United States","Statewide","Libertarian","CHASE OLIVER","171","0","0","136","0","0","35","0","0","0","0","0"
"2024 Presidential Election","CARBON","President of the United States","Statewide","Green Party","JILL STEIN","122","0","0","95","0","0","26","0","0","1","0","0"
"2024 Presidential Election","CENTRE","President of the United States","Statewide","Democratic","KAMALA D HARRIS","41,119","0","0","25,153","0","0","15,721","0","0","245","0","0"
"2024 Presidential Election","CENTRE","President of the United States","Statewide","Republican","DONALD J TRUMP","38,829","0","0","30,782","0","0","7,877","0","0","170","0","0"
"2024 Presidential Election","CENTRE","President of the United States","Statewide","Libertarian","CHASE OLIVER","470","0","0","366","0","0","104","0","0","0","0","0"
"2024 Presidential Election","CENTRE","President of the United States","Statewide","Green Party","JILL STEIN","374","0","0","251","0","0","117","0","0","6","0","0"
"2024 Presidential Election","CHESTER","President of the United States","Statewide","Democratic","KAMALA D HARRIS","184,281","0","0","106,691","0","0","76,059","0","0","1,531","0","0"
"2024 Presidential Election","CHESTER","President of the United States","Statewide","Republican","DONALD J TRUMP","137,299","0","0","104,186","0","0","32,176","0","0","937","0","0"
"2024 Presidential Election","CHESTER","President of the United States","Statewide","Libertarian","CHASE OLIVER","1,776","0","0","1,261","0","0","502","0","0","13","0","0"
"2024 Presidential Election","CHESTER","President of the United States","Statewide","Green Party","JILL STEIN","1,608","0","0","1,083","0","0","508","0","0","17","0","0"
"2024 Presidential Election","CLARION","President of the United States","Statewide","Democratic","KAMALA D HARRIS","4,562","0","0","2,944","0","0","1,607","0","0","11","0","0"
"2024 Presidential Election","CLARION","President of the United States","Statewide","Republican","DONALD J TRUMP","15,036","0","0","12,679","0","0","2,328","0","0","29","0","0"
"2024 Presidential Election","CLARION","President of the United States","Statewide","Libertarian","CHASE OLIVER","91","0","0","68","0","0","23","0","0","0","0","0"
"2024 Presidential Election","CLARION","President of the United States","Statewide","Green Party","JILL STEIN","44","0","0","34","0","0","9","0","0","1","0","0"
"2024 Presidential Election","CLEARFIELD","President of the United States","Statewide","Democratic","KAMALA D HARRIS","9,647","0","0","6,207","0","0","3,413","0","0","27","0","0"
"2024 Presidential Election","CLEARFIELD","President of the United States","Statewide","Republican","DONALD J TRUMP","30,481","0","0","26,219","0","0","4,169","0","0","93","0","0"
"2024 Presidential Election","CLEARFIELD","President of the United States","Statewide","Libertarian","CHASE OLIVER","183","0","0","137","0","0","45","0","0","1","0","0"
"2024 Presidential Election","CLEARFIELD","President of the United States","Statewide","Green Party","JILL STEIN","119","0","0","84","0","0","35","0","0","0","0","0"
"2024 Presidential Election","CLINTON","President of the United States","Statewide","Democratic","KAMALA D HARRIS","5,395","0","0","3,464","0","0","1,910","0","0","21","0","0"
"2024 Presidential Election","CLINTON","President of the United States","Statewide","Republican","DONALD J TRUMP","12,965","0","0","10,684","0","0","2,226","0","0","55","0","0"
"2024 Presidential Election","CLINTON","President of the United States","Statewide","Libertarian","CHASE OLIVER","100","0","0","81","0","0","19","0","0","0","0","0"
"2024 Presidential Election","CLINTON","President of the United States","Statewide","Green Party","JILL STEIN","62","0","0","44","0","0","18","0","0","0","0","0"
"2024 Presidential Election","COLUMBIA","President of the United States","Statewide","Democratic","KAMALA D HARRIS","11,083","0","0","7,303","0","0","3,686","0","0","94","0","0"
"2024 Presidential Election","COLUMBIA","President of the United States","Statewide","Republican","DONALD J TRUMP","21,190","0","0","18,148","0","0","2,924","0","0","118","0","0"
"2024 Presidential Election","COLUMBIA","President of the United States","Statewide","Libertarian","CHASE OLIVER","193","0","0","163","0","0","29","0","0","1","0","0"
"2024 Presidential Election","COLUMBIA","President of the United States","Statewide","Green Party","JILL STEIN","110","0","0","80","0","0","30","0","0","0","0","0"
"2024 Presidential Election","CRAWFORD","President of the United States","Statewide","Democratic","KAMALA D HARRIS","12,858","0","0","7,891","0","0","4,887","0","0","80","0","0"
"2024 Presidential Election","CRAWFORD","President of the United States","Statewide","Republican","DONALD J TRUMP","29,685","0","0","24,557","0","0","5,009","0","0","119","0","0"
"2024 Presidential Election","CRAWFORD","President of the United States","Statewide","Libertarian","CHASE OLIVER","214","0","0","175","0","0","38","0","0","1","0","0"
"2024 Presidential Election","CRAWFORD","President of the United States","Statewide","Green Party","JILL STEIN","115","0","0","88","0","0","26","0","0","1","0","0"
"2024 Presidential Election","CUMBERLAND","President of the United States","Statewide","Democratic","KAMALA D HARRIS","66,255","0","0","40,735","0","0","25,061","0","0","459","0","0"
