county,harris_votes,trump_votes,oliver_votes,stein_votes,total_presidential_votes,winner,winner_votes,margin_votes,winner_pct,margin_pct
Adams,19842,40248,342,218,60650,Trump,40248,20406,66.36,33.65
Allegheny,429916,283595,3302,3691,720504,Harris,429916,146321,59.67,20.31
Armstrong,8553,28296,182,88,37119,Trump,28296,19743,76.23,53.19
Beaver,37196,56837,502,308,94843,Trump,56837,19641,59.93,20.71
Bedford,4336,23658,100,66,28160,Trump,23658,19322,84.01,68.62
Berks,91125,116677,1094,942,209838,Trump,116677,25552,55.6,12.18
Blair,18127,46352,274,196,64949,Trump,46352,28225,71.37,43.46
Bradford,7990,22937,180,85,31192,Trump,22937,14947,73.53,47.92
Bucks,198431,198722,1904,1971,401028,Trump,198722,291,49.55,0.07
Butler,40661,79773,665,341,121440,Trump,79773,39112,65.69,32.21
Cambria,21177,49408,337,214,71136,Trump,49408,28231,69.46,39.69
Cameron,538,1654,17,10,2219,Trump,1654,1116,74.54,50.29
Carbon,11394,23708,171,122,35395,Trump,23708,12314,66.98,34.79
Centre,41119,38829,470,374,80792,Harris,41119,2290,50.89,2.83
Chester,184281,137299,1776,1608,324964,Harris,184281,46982,56.71,14.46
Clarion,4562,15036,91,44,19733,Trump,15036,10474,76.2,53.08
Clearfield,9647,30481,183,119,40430,Trump,30481,20834,75.39,51.53
Clinton,5395,12965,100,62,18522,Trump,12965,7570,70.0,40.87
Columbia,11083,21190,193,110,32576,Trump,21190,10107,65.05,31.03
Crawford,12858,29685,214,115,42872,Trump,29685,16827,69.24,39.25
Cumberland,66255,80267,921,953,148396,Trump,80267,14012,54.09,9.44
Dauphin,78327,69474,832,893,149526,Harris,78327,8853,52.38,5.92
Delaware,201324,123421,1300,2127,328172,Harris,201324,77903,61.35,23.74
Elk,4483,12543,75,52,17153,Trump,12543,8060,73.12,46.99
Erie,67456,68866,686,587,137595,Trump,68866,1410,50.05,1.02
Fayette,19548,43633,169,122,63472,Trump,43633,24085,68.74,37.95
Forest,724,1902,9,15,2650,Trump,1902,1178,71.77,44.45
Franklin,23543,59604,457,280,83884,Trump,59604,36061,71.06,42.99
Fulton,1102,7039,23,13,8177,Trump,7039,5937,86.08,72.61
Greene,4592,12319,90,235,17236,Trump,12319,7727,71.47,44.83
Huntingdon,5368,17627,108,53,23156,Trump,17627,12259,76.12,52.94
Indiana,12697,29215,194,123,42229,Trump,29215,16518,69.18,39.12
Jefferson,4707,18235,131,56,23129,Trump,18235,13528,78.84,58.49
Juniata,2290,9721,64,29,12104,Trump,9721,7431,80.31,61.39
Lackawanna,59510,56261,425,394,116590,Harris,59510,3249,51.04,2.79
Lancaster,120119,166261,1727,1150,289257,Trump,166261,46142,57.48,15.95
Lawrence,15440,31347,179,144,47110,Trump,31347,15907,66.54,33.77
Lebanon,24734,48282,390,286,73692,Trump,48282,23548,65.52,31.95
Lehigh,96317,91207,855,1431,189810,Harris,96317,5110,50.74,2.69
Luzerne,62504,92444,640,562,156150,Trump,92444,29940,59.2,19.17
Lycoming,17216,41961,296,212,59685,Trump,41961,24745,70.3,41.46
McKean,5115,14401,108,58,19682,Trump,14401,9286,73.17,47.18
Mercer,20145,37761,312,192,58410,Trump,37761,17616,64.65,30.16
Mifflin,4735,17184,95,57,22071,Trump,17184,12449,77.86,56.4
Monroe,42007,42676,401,441,85525,Trump,42676,669,49.9,0.78
Montgomery,317103,198311,2508,2984,520906,Harris,317103,118792,60.88,22.8
Montour,3862,5944,58,44,9908,Trump,5944,2082,59.99,21.01
Northampton,86655,89817,813,930,178215,Trump,89817,3162,50.4,1.77
Northumberland,12863,30240,255,164,43522,Trump,30240,17377,69.48,39.93
Perry,6385,19073,164,103,25725,Trump,19073,12688,74.14,49.32
Philadelphia,568571,144311,2326,6233,721441,Harris,568571,424260,78.81,58.81
Pike,13132,21537,137,144,34950,Trump,21537,8405,61.62,24.05
Potter,1675,7334,56,20,9085,Trump,7334,5659,80.73,62.29
Schuylkill,20882,51665,369,268,73184,Trump,51665,30783,70.6,42.06
Snyder,5239,14664,90,45,20038,Trump,14664,9425,73.18,47.04
Somerset,8596,31993,189,103,40881,Trump,31993,23397,78.26,57.23
Sullivan,976,2721,12,12,3721,Trump,2721,1745,73.13,46.9
Susquehanna,6093,16114,131,66,22404,Trump,16114,10021,71.92,44.73
Tioga,5100,16272,144,71,21587,Trump,16272,11172,75.38,51.75
Union,8015,12969,100,104,21188,Trump,12969,4954,61.21,23.38
Venango,7624,18883,137,88,26732,Trump,18883,11259,70.64,42.12
Warren,6212,14345,113,53,20723,Trump,14345,8133,69.22,39.25
Washington,44910,75929,524,254,121617,Trump,75929,31019,62.43,25.51
Wayne,9150,20071,125,98,29444,Trump,20071,10921,68.17,37.09
Westmoreland,74904,135008,971,567,211450,Trump,135008,60104,63.85,28.42
Wyoming,4680,10222,90,60,15052,Trump,10222,5542,67.91,36.82
York,91926,154884,1422,978,249210,Trump,154884,62958,62.15,25.26
